id,jobId,orderItemId,orderNumber,studioName,status,pdfPath,fileName,side,colorMode,error,sortOrder,updatedAt
cmo6qt1f50003fi7b0ki3meo3,2171b8ff-322a-437c-8ced-ff00b0a88e40,cmo6o6vpj001grtknbi62gyf6,260420-005,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260420\기타\양면\260420-005_인천달빛스쿠터_양면_1up.pdf,260420-005_인천달빛스쿠터_양면_1up.pdf,양면,,,0,2026-04-20 05:16:49.231
cmo6rb9xg000212e8efbckhhj,6f33a0a7-62af-4647-bfde-b9b1ba8332a2,cmo6o6vpj001grtknbi62gyf6,260420-005,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260420\기타\양면\260420-005_인천달빛스쿠터_양면_1up.pdf,260420-005_인천달빛스쿠터_양면_1up.pdf,양면,,,2,2026-04-20 05:31:11.048
cmo6qurit0004fi7bb36eespy,a28a0314-6a38-435a-812e-403941f86e90,cmo6o6vpj001grtknbi62gyf6,260420-005,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260420\기타\양면\260420-005_인천달빛스쿠터_양면_1up.pdf,260420-005_인천달빛스쿠터_양면_1up.pdf,양면,,,0,2026-04-20 05:18:09.648
cmo6tggj80006101vunxgry1r,a2644e9a-39f6-4524-b470-c5b7f7605ead,cmo6te0hp001qxm9ijs7uzja5,260420-008,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260420\인디고\4도\양면\260420-008_인천달빛스쿠터_양면_1up.pdf,260420-008_인천달빛스쿠터_양면_1up.pdf,양면,,,0,2026-04-20 06:31:19.652
cmo6qurit0005fi7b3rr34t56,a28a0314-6a38-435a-812e-403941f86e90,cmo6o24mv0005rtknle7x3319,260420-004,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260420\기타\양면\260420-004_인천달빛스쿠터_양면_1up.pdf,260420-004_인천달빛스쿠터_양면_1up.pdf,양면,,,1,2026-04-20 05:18:12.016
cmo6rb9xg000312e86in021ml,6f33a0a7-62af-4647-bfde-b9b1ba8332a2,cmo6kw6cr001gnolzfc2vc6py,260420-002,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260420\기타\단면\260420-002_인천달빛스쿠터_단면_압축제본_웨딩_용지별도_1up.pdf,260420-002_인천달빛스쿠터_단면_압축제본_웨딩_용지별도_1up.pdf,단면,,,3,2026-04-20 05:31:12.881
cmo6qurit0006fi7b38949g0h,a28a0314-6a38-435a-812e-403941f86e90,cmo6nd30d000cgqcd1k1wsvsr,260420-003,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260420\기타\양면\260420-003_인천달빛스쿠터_양면_1up.pdf,260420-003_인천달빛스쿠터_양면_1up.pdf,양면,,,2,2026-04-20 05:18:19.765
cmo6qxnfr0000emjygtm80ss0,bd6d76ac-8eec-4c33-b4d8-c3bf09d10b3d,cmo6o6vpj001grtknbi62gyf6,260420-005,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260420\기타\양면\260420-005_인천달빛스쿠터_양면_1up.pdf,260420-005_인천달빛스쿠터_양면_1up.pdf,양면,,,0,2026-04-20 05:20:24.375
cmo6rb9xg000412e83le28pdp,6f33a0a7-62af-4647-bfde-b9b1ba8332a2,cmo6kw5xg000wnolz38k23gdb,260420-001,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260420\기타\단면\260420-001_인천달빛스쿠터_단면_압축제본_웨딩_용지별도_1up.pdf,260420-001_인천달빛스쿠터_단면_압축제본_웨딩_용지별도_1up.pdf,단면,,,4,2026-04-20 05:31:13.145
cmo6qxnfr0001emjyaksad48h,bd6d76ac-8eec-4c33-b4d8-c3bf09d10b3d,cmo6o24mv0005rtknle7x3319,260420-004,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260420\기타\양면\260420-004_인천달빛스쿠터_양면_1up.pdf,260420-004_인천달빛스쿠터_양면_1up.pdf,양면,,,1,2026-04-20 05:20:26.569
